Proteins,Degree,Closeness,Betweenness,Eigenvector,Harmonic,Hub_Score,Authority_Score,Page_Rank,Power_Centrality
ENSP00000253031,100.000,0.237,2610.101,0.004,0.246,0.004,0.004,0.000,0.000
ENSP00000253039,232.000,0.260,483204.298,0.006,0.273,0.006,0.006,0.000,0.000
ENSP00000253048,188.000,0.243,31230.988,0.006,0.254,0.006,0.006,0.000,0.000
ENSP00000253055,104.000,0.236,5026.817,0.004,0.245,0.004,0.004,0.000,0.000
ENSP00000253063,116.000,0.237,19535.613,0.006,0.247,0.006,0.006,0.000,0.000
ENSP00000253083,206.000,0.245,52280.842,0.008,0.257,0.008,0.008,0.000,0.000
ENSP00000253107,162.000,0.254,253855.605,0.010,0.268,0.010,0.010,0.000,0.000
ENSP00000253108,212.000,0.247,178571.617,0.008,0.259,0.008,0.008,0.000,0.000
ENSP00000253109,142.000,0.239,6438.473,0.007,0.249,0.007,0.007,0.000,0.000
ENSP00000253122,190.000,0.242,21425.484,0.008,0.253,0.008,0.008,0.000,0.000
ENSP00000253188,84.000,0.234,14.902,0.004,0.242,0.004,0.004,0.000,0.000
ENSP00000253237,252.000,0.247,80553.861,0.009,0.260,0.009,0.009,0.000,0.000
ENSP00000253247,156.000,0.243,120471.129,0.007,0.254,0.007,0.007,0.000,0.000
ENSP00000253255,126.000,0.239,35817.400,0.006,0.249,0.006,0.006,0.000,0.000
ENSP00000253270,78.000,0.231,3249.666,0.004,0.239,0.004,0.004,0.000,0.000
ENSP00000253329,4.000,0.184,82060.759,0.000,0.184,0.000,0.000,0.000,0.000
ENSP00000253354,30.000,0.225,142116.434,0.014,0.230,0.014,0.014,0.000,0.000
ENSP00000253363,10.000,0.156,62793.523,0.000,0.155,0.000,0.000,0.000,0.000
ENSP00000253382,76.000,0.271,449621.689,0.003,0.281,0.003,0.003,0.000,0.000
ENSP00000253408,46.000,0.243,69.436,0.008,0.251,0.008,0.008,0.000,0.000
ENSP00000253413,56.000,0.239,11273.258,0.003,0.245,0.003,0.003,0.000,0.000
ENSP00000253457,32.000,0.220,22714.770,0.002,0.224,0.002,0.002,0.000,0.000
ENSP00000253458,14.000,0.213,0.000,0.001,0.215,0.001,0.001,0.000,0.000
ENSP00000253462,40.000,0.221,0.000,0.002,0.225,0.002,0.002,0.000,0.000
ENSP00000253496,34.000,0.216,0.000,0.002,0.220,0.002,0.002,0.000,0.000
ENSP00000253577,36.000,0.219,25243.330,0.002,0.223,0.002,0.002,0.000,0.000
ENSP00000253669,40.000,0.221,0.000,0.002,0.225,0.002,0.002,0.000,0.000
ENSP00000253673,34.000,0.221,6323.238,0.002,0.225,0.002,0.002,0.000,0.000
ENSP00000253686,56.000,0.243,390613.522,0.000,0.248,0.000,0.000,0.000,0.000
ENSP00000253693,42.000,0.234,51741.005,0.001,0.239,0.001,0.001,0.000,0.000
ENSP00000253699,56.000,0.231,26449.289,0.005,0.238,0.005,0.005,0.000,0.000
ENSP00000253719,36.000,0.249,224350.893,0.000,0.254,0.000,0.000,0.000,0.000
ENSP00000253778,52.000,0.253,268114.842,0.012,0.263,0.012,0.012,0.000,0.000
ENSP00000253794,28.000,0.239,73933.019,0.001,0.247,0.001,0.001,0.000,0.000
ENSP00000253796,42.000,0.233,40295.304,0.000,0.238,0.000,0.000,0.000,0.000
ENSP00000253801,14.000,0.200,29353.945,0.000,0.202,0.000,0.000,0.000,0.000
ENSP00000253814,48.000,0.239,49979.614,0.004,0.245,0.004,0.004,0.000,0.000
ENSP00000253861,28.000,0.235,29197.318,0.004,0.240,0.004,0.004,0.000,0.000
ENSP00000253925,22.000,0.225,40096.012,0.000,0.228,0.000,0.000,0.000,0.000
ENSP00000254066,26.000,0.222,16601.116,0.000,0.225,0.000,0.000,0.000,0.000
ENSP00000254079,62.000,0.249,149558.748,0.007,0.259,0.007,0.007,0.000,0.000
ENSP00000254101,62.000,0.251,131043.172,0.012,0.261,0.012,0.012,0.000,0.000
ENSP00000254108,20.000,0.227,3642.690,0.000,0.231,0.000,0.000,0.000,0.000
ENSP00000254190,48.000,0.236,81270.024,0.001,0.241,0.001,0.001,0.000,0.000
